KD <1mM,SMILES
0,OCc1nc(-c(cc2)ccc2F)n[o]1
0,CCN(CCC(NC1C)=O)C1=O
0,CCCC(N1)=Nc(ccc(F)c2)c2C1=O
0,CC1OCCCN(Cc2ccccc2)C1=O
0,NC(CC1CCCCC1)=O
0,CS(c1cnccc1)(=O)=O
0,OC(c1cccc(C(F)(F)F)n1)=O
0,NC(CCC1)c(cc2)c1cc2F.Cl
0,O[C@@H](CC1)c(cc2)c1cc2Cl
0,Nc1nc(cncc2)c2[s]1
0,OC1(CCC1)c1ccccc1
0,OC(C(CCC1)N1C(c1ccc[s]1)=O)=O
0,NC1CC(C2CC2)OCC1
0,CC(c1cccc(F)c1)N1Cc2ncc[n]2CC1
0,Cc([n](C1CCCC1)nc1)c1C(O)=O
0,CCNS(N1CC(CCC2)N2CC1)(=O)=O
0,C1Cc2cnc(C3CNCCC3)[n]2CC1
0,NC1C(CO)CN(Cc2ccccc2)CC1
0,Cc1cnc(CNC)cc1
0,OC(C(C1)CNc(cc2)c1cc2F)=O
0,C1COc(cccc2)c2NC1
0,CCC(C)(CC1)CCNC1=O
0,Nc1c[n](C(F)F)nc1.Cl
0,CC1CC(C(N)=O)NCC1
0,CN(C=C(C(O)=O)N1)C1=O
0,Nc1cc(COCC2)c2nc1
0,COc(cc(CCNC1)c1c1)c1F
0,Cc1n[n](C(CCN2)C(F)(F)F)c2c1
0,Cc1cc(F)c(C(O)=O)c(F)c1
0,CCc1nc(C)c(C(C)O)[s]1
0,C[n]1nccc1[C@@H]1C[C@H](CC2)N[C@H]2C1
0,NC(C[n]1c(N)c(-c2ccccc2)nc1)=O
0,CC(c1cc(cc(cc2)F)c2[o]1)N.Cl
0,Cc(cc1)cc2c1c(C(O)=O)c[nH]2
0,O=C1N(c(cc2)ccc2F)N=CC1
0,NS(c1c(CCNC2)c2ccc1)(=O)=O
0,Cc1c(CO)ccc(F)c1
0,O=C(CCC1)NC1C(F)(F)F
0,c1cnc[n]1-c1cncnc1
0,CC[n]1nccc1C(O)=O
0,CC(C)C(CC1)CCC1N
0,O=C1NCc(cc2)c1cc2F
0,NS(c(cc1)cc2c1OCCC2)(=O)=O
0,NC(N(CC1)CCN1c(cccc1)c1F)=O
0,Cc(cc1)cc(F)c1C(N)=O
0,Cc1cc(N2CC(F)=CCC2)ncn1
0,Nc1nc(C(F)(F)F)n[s]1
0,OCc1cnc2[n]1cccc2
0,Cc1ncc(C(NC)=O)[s]1
0,Cc1cc(C)c(C(C[n]2cncc2)N)cc1
0,NC(C[n]1ncnc1)c1ccccc1
0,C1NCC1c1nc(cccc2)c2[nH]1
0,OCC(N1)=Nc(cc(C(F)(F)F)cc2)c2C1=O
0,O=S(CC1)(CC1NC1CCCC1)=O.Cl
0,OCCNc(cc1)cc(F)c1F
0,C[n]1c(C(c(cccc2)c2F)N)ncc1
0,Cc1c(N)nn[n]1Cc1cccc(F)c1
0,C1Cc2nnc(C3CCNCC3)[n]2CC1
0,C(C1)NCCN1c1nccc2c1cc[s]2
0,C(CNC1)C1c1ncccc1
0,OCC(c1cccc(Cl)c1Cl)O
0,C[n]1nccc1N(CCC1)CC1N
0,NC(NC1=O)=NC1c1ccccc1
0,FC(c1cnc(C2CCNCC2)[nH]1)(F)F.Cl.Cl
0,C(COCC1)C11COCCNC1
0,C(CNCC1)C11CCOCC1
0,CC(C(NCC1)=O)N1C(c1ccccc1)=O
0,C[n](cc1C(N)=O)nc1N
0,CNC(c1cccc(F)c1)c1ncccc1
0,CNc(cc1)ncc1OC
0,COC1(CC(O)=O)CCC1
0,OCc(cc(cc1)F)c1-[n]1ncnc1
0,CC[C@H](c(cc1)ccc1F)N.Cl
0,COc(cccc1)c1-c1ncccc1N
0,CC(CNc1c2ccc(F)c1)NC2=O
0,OCCOc1cnccc1
0,Cc1ncc(CO)[n]1-c1ccccc1
0,C[n]1nc(C(c(cc2)ccc2Cl)N)cc1
0,COc1cc(C(N)=O)ncc1
0,CC(Cc1ccccc1)(CCN1)C1=O
0,Cc1c(C2NCCNC2=O)ccc(F)c1
0,C[n]1nccc1C(C1)OCCC1N
0,CN(C(CC(O)=O)CC1)C1=O
0,CC[n](c(C1CC1)c1)nc1N
0,CN(CCC1Oc2cccc(F)c2)C1=O
0,NC(N(CCC1)CC1C(O)=O)=O
0,COc1cccc2cccnc12
0,CCc1n[o]cc1C(O)=O
0,Cc1c(N)[n](CCO)nc1C
0,C[n](c(C1CC1)c1)nc1C(O)=O
0,Cc1cc2nnc(N)[n]2cc1
0,O=C(C1CC=CCC1)NCc1c[nH]nn1
0,OC(c1n[o]c(C2CC2)c1)=O
0,O=C1N(CC2CCC2)C=CC=C1C(F)(F)F
0,O=S(C1CCOCC1)(NC1CCCC1)=O
0,CC1(CC=CCC1)C(O)=O
1,NCc(cc1)ccc1-[n]1cncc1
0,CCc1nc(cccc2)c2[n]1CCN
0,CC(c(cc1)cc(Cl)c1OC)O
0,O=S1(NCc2c1ccc(F)c2)=O
0,CCC(N1CC)=NNC1=O
0,OC(c1c[n](CCF)nc1)=O
0,CC[n]1nc(C)c(C(O)=O)c1
0,CC(C)Cc1n[o]c(N)c1
0,CC(C)Nc1ncc[n]1C
0,NC(C[n]1nccc1)c1ccccc1
0,CC(CN1CC(C)OCC1)O
0,CNCc1ncc(C2CC2)[o]1
0,COc1cc(C2(CCC2)O)ccc1
0,Cc1n[o]c(CC(O)=O)c1
0,O=C1NC(Cc2ccccc2)CC1
0,Cc([o]cc1)c1-c1cc(N)n[o]1
0,CC[C@@H](c(cc1)ccc1F)N.Cl
0,C(C1)CNCC11COCCC1
0,OCCN(CCCC1)C1=O
0,CN(C)CC1OCCNC1
0,C(C1)C1[n]1c(ccnc2)c2nc1
0,CC(N1)=NC2(CCCC2)C1=O
0,C[n](cc1C=NN2)nc1C2=O
0,CCC(CN(CC1)S(C)(=O)=O)C1N
0,Nc([nH]nc1C2CC2)c1C#N
0,OCc1nc(Cc(cc2)ccc2F)n[o]1
0,C[n]1ncc2c1CCCNC2=O
0,CCOc(cc1)ncc1C(N)=O
0,NCC(C1)c(cccc2)c2NC1=O
0,O=C1NCCNC1c(cccc1)c1F
0,C1CNc(cncc2)c2NC1
0,Nc1c(C(F)(F)F)[n](-c2ccccc2)nc1.Cl
0,CC(CC(C)CN1)CC1=O
0,COc(nc1C(F)(F)F)ccc1N.Cl
0,CCOc1cncc(CO)c1
0,NC(C(CC1)CN1c1nc(C(F)(F)F)c[s]1)=O
0,CC1N(CCN)CCCC1
0,N#Cc(cc1)cnc1N(C1)CC1C(F)(F)F
0,FC(Oc1cc(N2CCNCC2)ccc1)F
0,Cc1c([C@H]2OCC[C@@H]2CN)c(C)n[n]1C
0,NCCN1Cc2cccc(Cl)c2CC1
0,OC([C@H](C1)C[C@H]1OC(F)F)=O
0,NC1CC2(CCC2)OCC1
0,FC(c1cc(C2OCCNC2)ccc1)(F)F
0,CCC1OCCC1C(O)=O
0,Cc1cccc(F)c1CN
0,C1CNCc2cccnc2C1
0,Oc1nc(C2CC2)ncc1
0,CC(CN(CCC1)C1c1c[n](C)nc1)=C
0,CC(N1Cc(cccc2)c2OCC1)=O
0,Cc1n[o]c(C)c1CNC
0,COCc1cc(C(N)=O)n[o]1
0,C(CNC1)c2c1cn[n]2-c1ccccc1
0,NCc(cc1)ncc1-[n]1cncc1
0,NC(C(CO)CC1)c2c1cccc2
0,Fc1cnc(C2NCCCC2)cc1
0,NS(c1c(C[n]2cncc2)cccc1)(=O)=O
0,OCc1c(CC2CCNCC2)cccc1
0,NS(c1cc(Cl)cnc1)(=O)=O
0,OC(c(cc1)ncc1F)=O
0,Nc1nnc[n]1Cc1ccccc1
0,Nc1nc(C2CCCC2)ncc1
0,CC(C1)(CNC1=O)c1cnccc1
0,CN1C(CCO)CCCC1
0,OC(c1c(C(F)(F)F)cncc1)=O
0,CC(C)N(Cc(cccc1)c1N1)C1=O
0,C(Cc1ccccc1)C1OCCNC1
0,Cc(c(C(O)=O)ccc1)c1N(CCN1)C1=O
0,O=C(CC1)NCCN1C1CC1
0,Cc([nH]c1ccc2)nc1c2C(O)=O
0,NC(C1c2ncc[n]2CCC1)=O
0,NCCc1nc(-c(cc2)ccc2F)c[nH]1.Cl.Cl
0,O=C(CC1)NN=C1C(F)(F)F
0,COC1(CN)CCOCC1
0,CNC(CCC1)c2c1[n](C)nc2
0,NC(NC(C1)COc(cc2)c1cc2F)=O
0,CCC(c(cc1)ncc1F)O
0,Cc(nc(C)nc1N2CCSCC2)c1F
0,Cc([nH]nc1C(O)=O)c1F
0,OC(C1c2ncc[n]2CCC1)=O
0,C(C1)CNC1c1ccc[o]1
0,CN(C)c(cc1)ncc1N
0,OC(C(C1)CC11CCCCC1)=O
0,CC(C)(c(cccc1)c1OC)O
0,CC(C)(C1)NCCNC1=O
0,OCc1c(CCC2)[n]2nc1
0,Cc1n[n]2c(C(F)(F)F)ccnc2c1
0,COc1c(C2NCCC2)cccc1
0,OCCN1CCCCCC1
0,C[n]1c(CC2CNCCC2)ncc1
0,C(COC1)C11NCCOC1
0,C[C@H](C[C@@H](C1)C(O)=O)NC1=O.Cl
