ID #,"Papp (AB), 10-6 cm/s",Binary_LogBB >= -1,SMILES
EBC-06973,9.146466511,1,CC(=O)N1CCC(CC1)NC(=O)NC=2C=CC(OC(F)(F)F)=CC2
EBC-158031,4.034391534,1,CC(C)C(C(=O)NC1=NC=C(C)S1)C=2C=CC(Cl)=CC2
EBC-09073,10.96744805,1,CC1CCN(CC1)S(=O)(=O)C=2C=CC(NC(=O)C=3C=CC=CN3)=CC2
EBC-13453,4.981425194,1,CCOC=1C=CC(F)=CC1C2(O)C(=NC=3C=CC(Cl)=CC32)N
EBC-13717,34.27128427,1,ClC=1C=C(C=NC1Cl)C(=O)NCCN2CCOCC2
EBC-08958,6.81634015,1,ClC=1C=CC(=CC1)N2CCN(CC=3C=CC=4OCC(=O)NC4C3)CC2
EBC-09144,40.5,1,CNC(=O)C=1C=CC=2C(=O)C=3C=CC=CC3S(=O)(=O)C2C1
EBC-09171,26.3,1,CCN1C(=O)C=2C=CC=C3C(=CC=C1C23)S(=O)(=O)NC4CCCC4
EBC-08443,25.33495477,1,O=S(=O)(CC=1C=CC=CC1)N2CCN(CC=3C=CC=CC3)CC2
EBC-06051,16.54293644,1,COC=1C=CC(=CC1OC2CCCC2)C(=O)NC=3C(Cl)=CN=CC3Cl
EBC-14023,39.44548747,1,FC(F)OC=1C=CC=CC1NS(=O)(=O)C=2C=CC=CC2C(F)(F)F
EBC-426053,15.24708299,1,CC1CCC2=NNC(C(=O)N[C@H]3COC=4C=CC=CC4N(C)C3=O)=C2C1
EBC-303143,6.387339721,1,CC(C)(C)C=1C=C(C=CC1O)C(=O)N2CCC=3C=CC=CC3C2
EBC-08628,20.14786783,1,NC(=O)C=1C=CC=CC1OCC(=O)N2CCC=3C=CC=CC3C2
EBC-08965,10.23505942,1,COC=1C=CC(=CC1C)S(=O)(=O)NCCCN2C=CN=C2
EBC-08883,6.545058481,1,CC=1C=CC(=CC1)C2(CC3CC4CC(C3)(C2)C(=O)N5CCN(CCO)CC5)C4
EBC-08697,10.79403629,1,CC(N(C)CC1=NC=CN1CC(F)(F)F)C=2C=CC=C(O)C2
EBC-08975,10.62243422,1,COC=1C=CC=2N(CCCC2C1)C(=O)C=3C=CC(=CC3)S(=O)(=O)N
EBC-07610,18.49197501,1,COC(=O)C1=C(C)NC(=C(C1C=2SC=CC2C)C(=O)OC)C
EBC-07227,7.53255394,1,CC1=CC=C(S1)C(=O)NC=2SC=3CCCCC3C2C(=O)N
EBC-13965,26.69443846,1,COC=1C=CC(NC(=O)C=2C=C(OC)C=C(OC)C2)=C(OC)C1
EBC-426075,1.100110011,1,C[C@@H]1N(CCCNC1=O)C(=O)C[C@H](N)CC=2C=C(F)C(F)=CC2F
EBC-426060,21.69855766,1,CC(NC(=O)C1=CC=C(C#N)N1C)C=2C(F)=CC=CC2Cl
EBC-06751,7.218192649,1,CC=1C=CC(NS(=O)(=O)C=2C=CC(Cl)=CC2)=C(C1)C(=O)O
EBC-384083,8.852574846,1,CC(C)(NC(=O)O[C@@H]1CN2CCC1CC2)C3=CSC(=N3)C=4C=CC(F)=CC4
EBC-551169,6.688068486,1,CC1=C2C(C3=C(CC(C)(C)CC3=O)N=C2NN1)C=4C=CSC4
EBC-08698,21.51519408,1,CC(C)COC=1C=CC(=CC1C#N)C2=NC(C)=C(S2)C(=O)O
EBC-06811,18.8,1,BrC=1C=CC=CC1CN2C(=O)C=3C=CC=CC3S2(=O)=O
